Nennmaßbereich bis;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;6;7;8;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;1-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18;3;4;5;6;7;8;9-18
;A;B;C;CD;D;E;EF;F;FG;G;H;JS;J;J;J;K;K;K;K;K;K;K;M;M;M;M;M;M;M;N;N;N;N;N;N;N;P;P;P;P;P;P;P;R;R;R;R;R;R;R;S;S;S;S;S;S;S;T;T;T;T;T;T;T;U;U;U;U;U;U;U;V;V;V;V;V;V;V;X;X;X;X;X;X;X;Y;Y;Y;Y;Y;Y;Y;Z;Z;Z;Z;Z;Z;Z;ZA;ZA;ZA;ZA;ZA;ZA;ZA;ZB;ZB;ZB;ZB;ZB;ZB;ZB;ZC;ZC;ZC;ZC;ZC;ZC;ZC
1;u;u;60;34;20;14;10;6;4;2;0;JS;2;4;6;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;-2;-2;-4;-4;-4;-4;-4;-4;u;-6;-6;-6;-6;-6;-6;-6;-10;-10;-10;-10;-10;-10;-10;-14;-14;-14;-14;-14;-14;-14;u;u;u;u;u;u;u;-18;-18;-18;-18;-18;-18;-18;u;u;u;u;u;u;u;-20;-20;-20;-20;-20;-20;-20;u;u;u;u;u;u;u;-26;-26;-26;-26;-26;-26;-26;-32;-32;-32;-32;-32;-32;-32;-40;-40;-40;-40;-40;-40;-40;-60;-60;-60;-60;-60;-60;-60
3;270;140;60;34;20;14;10;6;4;2;0;JS;2;4;6;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;-2;-2;-4;-4;-4;-4;-4;-4;-4;-6;-6;-6;-6;-6;-6;-6;-10;-10;-10;-10;-10;-10;-10;-14;-14;-14;-14;-14;-14;-14;u;u;u;u;u;u;u;-18;-18;-18;-18;-18;-18;-18;u;u;u;u;u;u;u;-20;-20;-20;-20;-20;-20;-20;u;u;u;u;u;u;u;-26;-26;-26;-26;-26;-26;-26;-32;-32;-32;-32;-32;-32;-32;-40;-40;-40;-40;-40;-40;-40;-60;-60;-60;-60;-60;-60;-60
6;270;140;70;46;30;20;14;10;6;4;0;JS;5;6;10;0;0,5;0;2;3;5;u;-3;-2,5;-3;-1;0;2;-4;-7;-6,5;-7;-5;-4;-2;0;-11;-10,5;-11;-9;-8;-6;-12;-14;-13,5;-14;-12;-11;-9;-15;-18;-17,5;-18;-16;-15;-13;-19;u;u;u;u;u;u;u;-22;-21,5;-22;-20;-19;-17;-23;u;u;u;u;u;u;u;-27;-26,5;-27;-25;-24;-22;-28;u;u;u;u;u;u;u;-34;-33,5;-34;-32;-31;-29;-35;-41;-40,5;-41;-39;-38;-36;-42;-49;-48,5;-49;-47;-46;-44;-50;-79;-78,5;-79;-77;-76;-74;-80
10;280;150;80;56;40;25;18;13;8;5;0;JS;5;8;12;0;0,5;1;2;5;6;u;-5;-4,5;-4;-3;0;1;-6;-9;-8,5;-8;-7;-4;-3;0;-14;-13,5;-13;-12;-9;-8;-15;-18;-17,5;-17;-16;-13;-12;-19;-22;-21,5;-21;-20;-17;-16;-23;u;u;u;u;u;u;u;-27;-26,5;-26;-25;-22;-21;-28;u;u;u;u;u;u;u;-33;-32,5;-32;-31;-28;-27;-34;u;u;u;u;u;u;u;-41;-40,5;-40;-39;-36;-35;-42;-51;-50,5;-50;-49;-46;-45;-52;-66;-65,5;-65;-64;-61;-60;-67;-96;-95,5;-95;-94;-91;-90;-97
14;290;150;95;u;50;32;u;16;u;6;0;JS;6;10;15;0;1;2;2;6;8;u;-6;-5;-4;-4;0;2;-7;-11;-10;-9;-9;-5;-3;0;-17;-16;-15;-15;-11;-9;-18;-22;-21;-20;-20;-16;-14;-23;-27;-26;-25;-25;-21;-19;-28;u;u;u;u;u;u;u;-32;-31;-30;-30;-26;-24;-33;u;u;u;u;u;u;u;-39;-38;-37;-37;-33;-31;-40;u;u;u;u;u;u;u;-49;-48;-47;-47;-43;-41;-50;-63;-62;-61;-61;-57;-55;-64;-89;-88;-87;-87;-83;-81;-90;-129;-128;-127;-127;-123;-121;-130
18;290;150;95;u;50;32;u;16;u;6;0;JS;6;10;15;0;1;2;2;6;8;u;-6;-5;-4;-4;0;2;-7;-11;-10;-9;-9;-5;-3;0;-17;-16;-15;-15;-11;-9;-18;-22;-21;-20;-20;-16;-14;-23;-27;-26;-25;-25;-21;-19;-28;u;u;u;u;u;u;u;-32;-31;-30;-30;-26;-24;-33;-38;-37;-36;-36;-32;-30;-39;-44;-43;-42;-42;-38;-36;-45;u;u;u;u;u;u;u;-59;-58;-57;-57;-53;-51;-60;-76;-75;-74;-74;-70;-68;-77;-107;-106;-105;-105;-101;-99;-108;-149;-148;-147;-147;-143;-141;-150
24;300;160;110;u;65;40;u;20;u;7;0;JS;8;12;20;-0,5;0;1;2;6;10;u;-6,5;-6;-5;-4;0;4;-8;-13,5;-13;-12;-11;-7;-3;0;-20,5;-20;-19;-18;-14;-10;-22;-26,5;-26;-25;-24;-20;-16;-28;-33,5;-33;-32;-31;-27;-23;-35;u;u;u;u;u;u;u;-39,5;-39;-38;-37;-33;-29;-41;-45,5;-45;-44;-43;-39;-35;-47;-52,5;-52;-51;-50;-46;-42;-54;-61,5;-61;-60;-59;-55;-51;-63;-71,5;-71;-70;-69;-65;-61;-73;-96,5;-96;-95;-94;-90;-86;-98;-134,5;-134;-133;-132;-128;-124;-136;-186,5;-186;-185;-184;-180;-176;-188
30;300;160;110;u;65;40;u;20;u;7;0;JS;8;12;20;-0,5;0;1;2;6;10;u;-6,5;-6;-5;-4;0;4;-8;-13,5;-13;-12;-11;-7;-3;0;-20,5;-20;-19;-18;-14;-10;-22;-26,5;-26;-25;-24;-20;-16;-28;-33,5;-33;-32;-31;-27;-23;-35;-39,5;-39;-38;-37;-33;-29;-41;-46,5;-46;-45;-44;-40;-36;-48;-53,5;-53;-52;-51;-47;-43;-55;-62,5;-62;-61;-60;-56;-52;-64;-73,5;-73;-72;-71;-67;-63;-75;-86,5;-86;-85;-84;-80;-76;-88;-116,5;-116;-115;-114;-110;-106;-118;-158,5;-158;-157;-156;-152;-148;-160;-216,5;-216;-215;-214;-210;-206;-218
40;310;170;120;u;80;50;u;25;u;9;0;JS;10;14;24;-0,5;1;2;3;7;12;u;-7,5;-6;-5;-4;0;5;-9;-15,5;-14;-13;-12;-8;-3;0;-24,5;-23;-22;-21;-17;-12;-26;-32,5;-31;-30;-29;-25;-20;-34;-41,5;-40;-39;-38;-34;-29;-43;-46,5;-45;-44;-43;-39;-34;-48;-58,5;-57;-56;-55;-51;-46;-60;-66,5;-65;-64;-63;-59;-54;-68;-78,5;-77;-76;-75;-71;-66;-80;-92,5;-91;-90;-89;-85;-80;-94;-110,5;-109;-108;-107;-103;-98;-112;-146,5;-145;-144;-143;-139;-134;-148;-198,5;-197;-196;-195;-191;-186;-200;-272,5;-271;-270;-269;-265;-260;-274
50;320;180;130;u;80;50;u;25;u;9;0;JS;10;14;24;-0,5;1;2;3;7;12;u;-7,5;-6;-5;-4;0;5;-9;-15,5;-14;-13;-12;-8;-3;0;-24,5;-23;-22;-21;-17;-12;-26;-32,5;-31;-30;-29;-25;-20;-34;-41,5;-40;-39;-38;-34;-29;-43;-52,5;-51;-50;-49;-45;-40;-54;-68,5;-67;-66;-65;-61;-56;-70;-79,5;-78;-77;-76;-72;-67;-81;-95,5;-94;-93;-92;-88;-83;-97;-112,5;-111;-110;-109;-105;-100;-114;-134,5;-133;-132;-131;-127;-122;-136;-178,5;-177;-176;-175;-171;-166;-180;-240,5;-239;-238;-237;-233;-228;-242;-323,5;-322;-321;-320;-316;-311;-325
65;340;190;140;u;100;60;u;30;u;10;0;JS;13;18;28;0;1;3;4;9;14;u;-9;-8;-6;-5;0;5;-11;-18;-17;-15;-14;-9;-4;0;-30;-29;-27;-26;-21;-16;-32;-39;-38;-36;-35;-30;-25;-41;-51;-50;-48;-47;-42;-37;-53;-64;-63;-61;-60;-55;-50;-66;-85;-84;-82;-81;-76;-71;-87;-100;-99;-97;-96;-91;-86;-102;-120;-119;-117;-116;-111;-106;-122;-142;-141;-139;-138;-133;-128;-144;-170;-169;-167;-166;-161;-156;-172;-224;-223;-221;-220;-215;-210;-226;-298;-297;-295;-294;-289;-284;-300;-403;-402;-400;-399;-394;-389;-405
